feature_index,feature_label,importance,label_source
33,internal_i33,0.02862715285544651,internal_index
42,internal_i42,0.0239062697727489,internal_index
0,internal_i0,0.02358867154976244,internal_index
75,internal_i75,0.023267973706273218,internal_index
77,internal_i77,0.021917237906065944,internal_index
96,internal_i96,0.020890450968295202,internal_index
60,internal_i60,0.020819419592598448,internal_index
12,internal_i12,0.020554249300508497,internal_index
47,internal_i47,0.0171067903781962,internal_index
15,internal_i15,0.016599935401734364,internal_index
35,internal_i35,0.01642505799858531,internal_index
54,internal_i54,0.0157698935656591,internal_index
57,internal_i57,0.01566599409440728,internal_index
56,internal_i56,0.015430085182596158,internal_index
80,internal_i80,0.014978087226293854,internal_index
6,internal_i6,0.014836226913612048,internal_index
8,internal_i8,0.014327353337596674,internal_index
105,internal_i105,0.014284967565465627,internal_index
108,internal_i108,0.014171498519006273,internal_index
21,internal_i21,0.014145556826354273,internal_index
99,internal_i99,0.01355527966813856,internal_index
59,internal_i59,0.013221041608926076,internal_index
9,internal_i9,0.013093660689806634,internal_index
89,internal_i89,0.012901081131324925,internal_index
101,internal_i101,0.012715534618159769,internal_index
87,internal_i87,0.012606498392047758,internal_index
72,internal_i72,0.01259034085662466,internal_index
18,internal_i18,0.012562611153677872,internal_index
53,internal_i53,0.012559499445355747,internal_index
24,internal_i24,0.012497106616344403,internal_index
66,internal_i66,0.012443886554583429,internal_index
92,internal_i92,0.012119236171594409,internal_index
78,internal_i78,0.012101612423778602,internal_index
39,internal_i39,0.011992077776725401,internal_index
63,internal_i63,0.011690430644269285,internal_index
107,internal_i107,0.011653500384419297,internal_index
74,internal_i74,0.011304185436336985,internal_index
44,internal_i44,0.011235742517051757,internal_index
32,internal_i32,0.011046910758464694,internal_index
27,internal_i27,0.01092732936642621,internal_index
5,internal_i5,0.010201592427523746,internal_index
26,internal_i26,0.010171934783893737,internal_index
20,internal_i20,0.00999168753709632,internal_index
23,internal_i23,0.009413839434856276,internal_index
46,internal_i46,0.009344000909886243,internal_index
50,internal_i50,0.00860832673946737,internal_index
69,internal_i69,0.00851301008197746,internal_index
81,internal_i81,0.008125909140834518,internal_index
22,internal_i22,0.008118299336150391,internal_index
36,internal_i36,0.00804759004986538,internal_index
71,internal_i71,0.007862524236463365,internal_index
64,internal_i64,0.007700393642334215,internal_index
30,internal_i30,0.007610320262195005,internal_index
104,internal_i104,0.007600454605312207,internal_index
83,internal_i83,0.007343829772665851,internal_index
84,internal_i84,0.007243817644389804,internal_index
48,internal_i48,0.0070569722827595925,internal_index
2,internal_i2,0.006724198679640998,internal_index
41,internal_i41,0.006611340104905943,internal_index
110,internal_i110,0.006578975809677009,internal_index
1,internal_i1,0.006570470128374819,internal_index
40,internal_i40,0.006395044722088251,internal_index
14,internal_i14,0.0062986667681763754,internal_index
86,internal_i86,0.006284120337351648,internal_index
52,internal_i52,0.006114509259305459,internal_index
45,internal_i45,0.006044719279112496,internal_index
3,internal_i3,0.005931395094549226,internal_index
102,internal_i102,0.0058453302646401094,internal_index
73,internal_i73,0.005786608235914035,internal_index
28,internal_i28,0.005652122205582358,internal_index
62,internal_i62,0.0054735116666730565,internal_index
98,internal_i98,0.0053577255354746505,internal_index
90,internal_i90,0.005356942357777892,internal_index
49,internal_i49,0.005306150309550773,internal_index
51,internal_i51,0.005294862605372653,internal_index
70,internal_i70,0.005271235078956322,internal_index
11,internal_i11,0.0052154014915809285,internal_index
43,internal_i43,0.005214305885970247,internal_index
88,internal_i88,0.005151282804171627,internal_index
17,internal_i17,0.005073311208001749,internal_index
93,internal_i93,0.004492991063368867,internal_index
76,internal_i76,0.00447488516479783,internal_index
58,internal_i58,0.004388791824468724,internal_index
31,internal_i31,0.004296581387792756,internal_index
38,internal_i38,0.004291138441679652,internal_index
10,internal_i10,0.00424906538889683,internal_index
68,internal_i68,0.004055431010864435,internal_index
19,internal_i19,0.004052525713076576,internal_index
4,internal_i4,0.0037912914562781216,internal_index
65,internal_i65,0.003485630575023971,internal_index
29,internal_i29,0.003333333609133761,internal_index
100,internal_i100,0.0033106873302452228,internal_index
25,internal_i25,0.0032317055547447914,internal_index
103,internal_i103,0.003212104586533094,internal_index
61,internal_i61,0.003074138761470582,internal_index
37,internal_i37,0.0030137588552382553,internal_index
109,internal_i109,0.0029631586117536313,internal_index
34,internal_i34,0.002912567877849963,internal_index
85,internal_i85,0.0027666282842263765,internal_index
67,internal_i67,0.002253409876486184,internal_index
106,internal_i106,0.0021587925312023513,internal_index
94,internal_i94,0.0020885949104762266,internal_index
95,internal_i95,0.0019328188399056951,internal_index
82,internal_i82,0.0018967347645246402,internal_index
79,internal_i79,0.0018258123048015462,internal_index
13,internal_i13,0.0017118892239574442,internal_index
91,internal_i91,0.0015669369811373776,internal_index
97,internal_i97,0.001525341103259559,internal_index
7,internal_i7,0.0015137951989675782,internal_index
16,internal_i16,0.0012807329227147565,internal_index
55,internal_i55,0.0012499659635987802,internal_index
