timestamp,icme_speed_mean,label
2005-06-14 18:00:00,448.0,1
2005-06-14 19:00:00,533.0,1
2005-06-14 20:00:00,546.0,1
2005-06-14 21:00:00,551.0,1
2005-06-14 22:00:00,542.0,1
2005-06-14 23:00:00,532.0,1
2005-06-15 00:00:00,521.0,1
2005-06-15 01:00:00,509.0,1
2005-06-15 02:00:00,531.0,1
2005-06-15 03:00:00,524.0,1
2005-06-15 04:00:00,507.0,1
2005-06-15 05:00:00,508.0,1
2005-06-15 06:00:00,509.0,1
2005-06-15 07:00:00,498.0,1
2005-06-15 08:00:00,494.0,1
2005-06-15 09:00:00,493.0,1
2005-06-15 10:00:00,488.0,1
2005-06-15 11:00:00,511.0,1
2005-06-15 12:00:00,517.0,1
2005-06-15 13:00:00,511.0,1
2005-06-15 14:00:00,528.0,1
2005-06-15 15:00:00,516.0,1
2005-06-15 16:00:00,500.0,1
2005-06-15 17:00:00,492.0,1
2005-06-15 18:00:00,479.0,1
2005-06-15 19:00:00,465.0,1
2005-06-15 20:00:00,468.0,1
2005-06-15 21:00:00,466.0,1
2005-06-15 22:00:00,474.0,1
2005-06-15 23:00:00,464.0,1
2005-06-16 00:00:00,449.0,1
2005-06-16 01:00:00,454.0,1
2005-06-16 02:00:00,435.0,1
2005-06-16 03:00:00,446.0,1
2005-06-16 04:00:00,460.0,1
2005-06-16 05:00:00,471.0,1
2005-06-16 06:00:00,472.0,1
2005-06-16 07:00:00,474.0,1
2005-06-16 08:00:00,467.0,1
