forecast_lag_min,input_start,input_end,num_windows,selected_coefficients,total_input_dim,selection_source,train_accuracy,train_f1,train_precision,train_recall,train_tss,train_hss,train_css,val_accuracy,val_f1,val_precision,val_recall,val_tss,val_hss,val_css,test_accuracy,test_f1,test_precision,test_recall,test_tss,test_hss,test_css
5,355,715,4,"W45:11,W90:20,W180:23,W360:94",2464,experiment12_results_log,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9845995893223819,0.9079754601226994,0.891566265060241,0.925,0.9149328859060404,0.8995752051800223,0.8314606741573034,0.9859002169197397,0.9248554913294798,0.898876404494382,0.9523809523809523,0.9416410955790431,0.9170828894392407,0.8602150537634409
15,345,705,4,"W45:10,W90:11,W180:19,W360:76",1904,experiment12_results_log,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9784394250513347,0.8679245283018868,0.8734177215189873,0.8625,0.8513143176733782,0.8561866325425731,0.7666666666666667,0.9772234273318872,0.874251497005988,0.8795180722891566,0.8690476190476191,0.8571144448232753,0.8617296293651361,0.776595744680851
30,330,690,4,"W45:11,W90:21,W180:28,W360:3",1848,experiment12_results_log,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.973305954825462,0.8333333333333334,0.8552631578947368,0.8125,0.8001957494407159,0.8188347736507755,0.7142857142857143,0.9783080260303688,0.8823529411764706,0.872093023255814,0.8928571428571429,0.8797306512103649,0.8704073314030304,0.7894736842105263
60,300,660,4,"W45:14,W90:13,W180:11,W360:7",1544,experiment12_results_log,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9558521560574949,0.6993006993006993,0.7936507936507936,0.625,0.6104586129753915,0.6758409312549342,0.5376344086021505,0.955531453362256,0.7354838709677419,0.8028169014084507,0.6785714285714286,0.6618649846573474,0.7113954589180193,0.5816326530612245
120,240,600,4,"W45:21,W90:44,W180:76,W360:111",4856,experiment12_results_log,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9363449691991786,0.515625,0.6875,0.4125,0.39572147651006695,0.48382795404814005,0.3473684210526316,0.9370932754880694,0.5915492957746479,0.7241379310344828,0.5,0.48090692124105017,0.5587060571051329,0.42
