window_size,forecast_lag_min,input_start,input_end,coeff_setting,max_available_coeffs,effective_coeffs,train_accuracy,train_f1,train_precision,train_recall,train_tss,train_hss,train_css,val_accuracy,val_f1,val_precision,val_recall,val_tss,val_hss,val_css,test_accuracy,test_f1,test_precision,test_recall,test_tss,test_hss,test_css
360,5,355,715,96,181,96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9804928131416838,0.8805031446540881,0.8860759493670886,0.875,0.8649328859060401,0.8698831437289947,0.7865168539325843,0.982646420824295,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.89521536538243,0.8952153653824299,0.8260869565217391
360,5,355,715,97,181,97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9815195071868584,0.8888888888888888,0.8780487804878049,0.9,0.8888143176733783,0.8788121768462963,0.8,0.9837310195227764,0.9112426035502958,0.9058823529411764,0.9166666666666666,0.9071201272871918,0.9022877248512768,0.8369565217391305
360,5,355,715,98,181,98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9815195071868584,0.8860759493670886,0.8974358974358975,0.875,0.8660514541387023,0.8760218369021017,0.7954545454545454,0.9837310195227764,0.9112426035502958,0.9058823529411764,0.9166666666666666,0.9071201272871918,0.9022877248512768,0.8369565217391305
360,5,355,715,99,181,99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9804928131416838,0.8819875776397516,0.8765432098765432,0.8875,0.8763143176733781,0.8713556800645098,0.7888888888888889,0.982646420824295,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.89521536538243,0.8952153653824299,0.8260869565217391
360,5,355,715,100,181,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9804928131416838,0.8819875776397516,0.8765432098765432,0.8875,0.8763143176733781,0.8713556800645098,0.7888888888888889,0.982646420824295,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.89521536538243,0.8952153653824299,0.8260869565217391
360,5,355,715,101,181,101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9815195071868584,0.8875,0.8875,0.8875,0.8774328859060403,0.8774328859060403,0.797752808988764,0.982646420824295,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.89521536538243,0.8952153653824299,0.8260869565217391
360,5,355,715,102,181,102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9815195071868584,0.8888888888888888,0.8780487804878049,0.9,0.8888143176733783,0.8788121768462963,0.8,0.982646420824295,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.89521536538243,0.8952153653824299,0.8260869565217391
360,5,355,715,103,181,103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9804928131416838,0.8819875776397516,0.8765432098765432,0.8875,0.8763143176733781,0.8713556800645098,0.7888888888888889,0.982646420824295,0.9058823529411764,0.8953488372093024,0.9166666666666666,0.9059268098647576,0.8963258651224243,0.8279569892473119
360,5,355,715,104,181,104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9794661190965092,0.875,0.875,0.875,0.8638143176733781,0.8638143176733781,0.7777777777777778,0.9837310195227764,0.9112426035502958,0.9058823529411764,0.9166666666666666,0.9071201272871918,0.9022877248512768,0.8369565217391305
360,5,355,715,105,181,105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9804928131416838,0.8819875776397516,0.8765432098765432,0.8875,0.8763143176733781,0.8713556800645098,0.7888888888888889,0.9815618221258134,0.8994082840236687,0.8941176470588236,0.9047619047619048,0.8940220479599956,0.8892594214981135,0.8172043010752689
360,5,355,715,106,181,106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9804928131416838,0.8819875776397516,0.8765432098765432,0.8875,0.8763143176733781,0.8713556800645098,0.7888888888888889,0.9815618221258134,0.8994082840236687,0.8941176470588236,0.9047619047619048,0.8940220479599956,0.8892594214981135,0.8172043010752689
360,5,355,715,107,181,107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9794661190965092,0.875,0.875,0.875,0.8638143176733781,0.8638143176733781,0.7777777777777778,0.9815618221258134,0.8994082840236687,0.8941176470588236,0.9047619047619048,0.8940220479599956,0.8892594214981135,0.8172043010752689
360,5,355,715,108,181,108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9794661190965092,0.8765432098765432,0.8658536585365854,0.8875,0.8751957494407159,0.8653468631625515,0.7802197802197802,0.982646420824295,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.89521536538243,0.8952153653824299,0.8260869565217391
360,5,355,715,109,181,109,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9815195071868584,0.8888888888888888,0.8780487804878049,0.9,0.8888143176733783,0.8788121768462963,0.8,0.9815618221258134,0.8994082840236687,0.8941176470588236,0.9047619047619048,0.8940220479599956,0.8892594214981135,0.8172043010752689
360,5,355,715,110,181,110,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9815195071868584,0.8888888888888888,0.8780487804878049,0.9,0.8888143176733783,0.8788121768462963,0.8,0.982646420824295,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.89521536538243,0.8952153653824299,0.8260869565217391
360,5,355,715,111,181,111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9815195071868584,0.8888888888888888,0.8780487804878049,0.9,0.8888143176733783,0.8788121768462963,0.8,0.9815618221258134,0.8994082840236687,0.8941176470588236,0.9047619047619048,0.8940220479599956,0.8892594214981135,0.8172043010752689
360,5,355,715,112,181,112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9804928131416838,0.8819875776397516,0.8765432098765432,0.8875,0.8763143176733781,0.8713556800645098,0.7888888888888889,0.982646420824295,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.89521536538243,0.8952153653824299,0.8260869565217391
360,5,355,715,113,181,113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9815195071868584,0.8888888888888888,0.8780487804878049,0.9,0.8888143176733783,0.8788121768462963,0.8,0.982646420824295,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.89521536538243,0.8952153653824299,0.8260869565217391
360,5,355,715,114,181,114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9794661190965092,0.875,0.875,0.875,0.8638143176733781,0.8638143176733781,0.7777777777777778,0.982646420824295,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.89521536538243,0.8952153653824299,0.8260869565217391
