sample_id,original_label,original_label_name,target_label,target_label_name,counterfactual_found,reconstruction_mse,changed_feature_count,changed_feature_fraction,dice_proximity_loss,dice_proximity_score,dice_sparsity_loss,dice_sparsity_score,dice_plausibility_distance,dice_plausibility_score,dice_diversity_dpp,dice_diversity_avg_dist,dice_diversity_pair_count,dice_mean_pairwise_distance,error
QUIET_Wind_2024-05-29_15-30,0,quiet,1,icme,True,101887.07084023704,2,0.10526315789473684,0.4514598949550827,0.6889615093574089,0.10526315789473684,0.8947368421052632,0.7140505890267609,0.5834133522090504,0.7671211935138169,0.8075546525845342,3,13.446493122147999,
QUIET_Wind_2012-09-04_01-19,0,quiet,1,icme,True,26.363920878465212,2,0.10526315789473684,0.10425440428008524,0.9055884188679749,0.10526315789473684,0.8947368421052632,1.0887543568322335,0.47875423777288084,0.9544069931023181,0.8745488584800678,3,7.423693585189028,
QUIET_Wind_2015-03-30_04-14,0,quiet,1,icme,True,24.050311216317777,2,0.10526315789473684,0.29837401631476473,0.7701940946402689,0.10526315789473684,0.8947368421052632,0.6269706935782503,0.6146392211900676,0.9794359016399158,0.9175469832359681,3,11.999618930317729,
QUIET_Wind_2010-03-23_04-22,0,quiet,1,icme,True,458.7113235999147,1,0.05263157894736842,0.39991721667925484,0.7143279531714747,0.05263157894736842,0.9473684210526316,0.4537815463052953,0.6878612557309206,0.9868990407727025,0.9349109271180367,3,15.629993706413037,
QUIET_Wind_2002-12-19_14-06,0,quiet,1,icme,True,1.3597880391893595,1,0.05263157894736842,0.2748149526534156,0.7844275735224062,0.05263157894736842,0.9473684210526316,1.5592956239423295,0.3907325088375698,0.9712560927549937,0.9070795114107917,3,11.639412510714635,
ICME_Wind_1997-12-30_01-13,1,icme,0,quiet,True,69.91833128823592,1,0.05263157894736842,0.09137700585317145,0.9162736567078957,0.05263157894736842,0.9473684210526316,1.907101427196162,0.34398524614412196,0.9392236787592264,0.8521507170383343,3,5.93552732818242,
ICME_Wind_2025-06-01_12-06,1,icme,0,quiet,True,21.94400893632235,2,0.10526315789473684,0.09519090069089753,0.9130828236147263,0.10526315789473684,0.8947368421052632,0.1604291276310945,0.8617501717157038,0.9351866213196149,0.8761864578417409,3,10.735795117783141,
ICME_Wind_2024-11-08_09-56,1,icme,0,quiet,True,0.3267910285353291,1,0.05263157894736842,0.08832954415983434,0.9188393399464104,0.05263157894736842,0.9473684210526316,0.29856169270154786,0.7700827812959617,0.9392734036863153,0.8725910587076985,3,9.194971468300919,
ICME_Wind_1999-07-02_00-27,1,icme,0,quiet,True,251.74324869939196,2,0.10526315789473684,0.06665589181230097,0.9375094701825072,0.10526315789473684,0.8947368421052632,0.42473849420250964,0.7018831905427986,0.9053648996486758,0.8236140919926614,3,5.261465113949953,
ICME_Wind_2013-06-27_13-51,1,icme,0,quiet,True,6.759334865752638,2,0.10526315789473684,0.30474326816239855,0.7664343050479201,0.10526315789473684,0.8947368421052632,1.630487853872998,0.38015761925212854,0.9931197472067257,0.9508529865680987,3,19.820811381142907,
