sample_id,original_label,original_label_name,target_label,target_label_name,counterfactual_found,reconstruction_mse,changed_feature_count,changed_feature_fraction,dice_proximity_loss,dice_proximity_score,dice_sparsity_loss,dice_sparsity_score,dice_plausibility_distance,dice_plausibility_score,dice_diversity_dpp,dice_diversity_avg_dist,dice_diversity_pair_count,dice_mean_pairwise_distance,error
QUIET_Wind_2024-05-29_15-30,0,quiet,1,icme,True,84.59155296934722,3,0.15789473684210525,0.6658751709091003,0.6002850738535712,0.15789473684210525,0.8421052631578947,1.2037504373457744,0.45377188952684366,0.09729903529027145,0.6545003508093832,3,14.786358275511267,
QUIET_Wind_2012-09-04_01-19,0,quiet,1,icme,True,185.35656295594276,1,0.05263157894736842,0.2042719380567272,0.8303772332465451,0.05263157894736842,0.9473684210526316,1.109390823011214,0.4740705179386683,0.9587771392250948,0.8868900762465526,3,9.06176698890525,
QUIET_Wind_2015-03-30_04-14,0,quiet,1,icme,True,0.05270804034216719,1,0.05263157894736842,0.030606584228735616,0.9703023591183049,0.05263157894736842,0.9473684210526316,0.525606687141584,0.6554769380787298,0.929296935374659,0.8653211186928359,3,8.968549267158506,
QUIET_Wind_2010-03-23_04-22,0,quiet,1,icme,True,38030.03667547075,1,0.05263157894736842,0.2442661072467914,0.8036866022274904,0.05263157894736842,0.9473684210526316,0.28238827321803295,0.7797950284515578,0.9131250728616158,0.82768164395941,3,5.250853558670925,
QUIET_Wind_2002-12-19_14-06,0,quiet,1,icme,True,183.86917598020932,1,0.05263157894736842,0.14692760234417923,0.8718946147569583,0.05263157894736842,0.9473684210526316,1.6210586113295176,0.3815252339941973,0.969628790872806,0.8959308456268436,3,8.733002192492457,
ICME_Wind_1997-12-30_01-13,1,icme,0,quiet,True,61.45869230022671,2,0.10526315789473684,0.1512406476333717,0.8686281205026246,0.10526315789473684,0.8947368421052632,1.698881482132883,0.3705238657644633,0.9875411965508251,0.9351853734010978,3,15.399604852396616,
ICME_Wind_2025-06-01_12-06,1,icme,0,quiet,True,156.28474814978878,1,0.05263157894736842,0.05490902963634503,0.947949038169411,0.05263157894736842,0.9473684210526316,0.2049401599700944,0.8299167321510963,0.8954892080422829,0.8094320564671736,3,4.611482376862044,
ICME_Wind_2024-11-08_09-56,1,icme,0,quiet,True,1139.3195992220974,1,0.05263157894736842,0.047185657772077116,0.9549405041771999,0.05263157894736842,0.9473684210526316,0.2293327515229273,0.8134494088449004,0.909832015936131,0.8525397460930441,3,8.68921307227817,
ICME_Wind_1999-07-02_00-27,1,icme,0,quiet,True,40253.0473826358,1,0.05263157894736842,0.20119416547859648,0.8325048761800854,0.05263157894736842,0.9473684210526316,0.3323883921592378,0.750531906375605,0.48463779890130654,0.6411113954774132,3,3.0514046196124975,
ICME_Wind_2013-06-27_13-51,1,icme,0,quiet,True,1128.1605123648194,1,0.05263157894736842,0.18171151357303297,0.8462302249864618,0.05263157894736842,0.9473684210526316,1.4725413766912179,0.4044421700793582,0.9833544778115401,0.9236403058021283,3,12.329595709159678,
