forecast_lag_min,window_size,top_percent,top_percent_label,input_start,input_end,total_features,selected_feature_count,selected_feature_fraction,feature_count_cumimp_gt50,cumimp_reached_at_gt50,train_accuracy,train_f1,train_precision,train_recall,train_tss,train_hss,train_css,val_accuracy,val_f1,val_precision,val_recall,val_tss,val_hss,val_css,test_accuracy,test_f1,test_precision,test_recall,test_tss,test_hss,test_css
5,45,0.05,5%,355,715,1472,74,0.050271739130434784,11,0.5226171873814734,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887063655030801,0.9325153374233128,0.9156626506024096,0.95,0.9421700223713647,0.9263551504653497,0.8735632183908046,0.9859002169197397,0.9257142857142857,0.8901098901098901,0.9642857142857143,0.9523525400613706,0.917938957429037,0.8617021276595744
5,45,0.1,10%,355,715,1472,148,0.10054347826086957,14,0.5152126927298023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9845995893223819,0.9101796407185628,0.8735632183908046,0.95,0.9376957494407159,0.9017735884575563,0.8351648351648352,0.9859002169197397,0.9248554913294798,0.898876404494382,0.9523809523809523,0.9416410955790431,0.9170828894392407,0.8602150537634409
5,45,0.15,15%,355,715,1472,221,0.15013586956521738,15,0.503057786312523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9835728952772074,0.9058823529411765,0.8555555555555555,0.9625,0.9479586129753916,0.8969175816906998,0.8279569892473119,0.9869848156182213,0.9294117647058824,0.9186046511627907,0.9404761904761905,0.9321229685191499,0.9222443988418182,0.8681318681318682
5,45,0.25,25%,355,715,1472,368,0.25,19,0.5125528372060202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856262833675564,0.9166666666666666,0.875,0.9625,0.950195749440716,0.9088210120894404,0.8461538461538461,0.9837310195227765,0.9122807017543859,0.896551724137931,0.9285714285714286,0.9178315717695193,0.9033178138500901,0.8387096774193549
5,45,0.5,50%,355,715,1472,736,0.5,24,0.5037869015292599,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9835728952772074,0.9058823529411765,0.8555555555555555,0.9625,0.9479586129753916,0.8969175816906998,0.8279569892473119,0.9837310195227765,0.9122807017543859,0.896551724137931,0.9285714285714286,0.9178315717695193,0.9033178138500901,0.8387096774193549
5,45,1.0,100%,355,715,1472,1472,1.0,32,0.5033146607904038,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9804928131416838,0.8862275449101796,0.8505747126436781,0.925,0.9104586129753915,0.8755798787129045,0.7956989247311828,0.9859002169197397,0.9230769230769231,0.9176470588235294,0.9285714285714286,0.920218206614388,0.9153160282044398,0.8571428571428571
5,90,0.05,5%,355,715,1472,74,0.050271739130434784,14,0.5186844868995283,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856262833675564,0.9156626506024096,0.8837209302325582,0.95,0.9388143176733781,0.9078175279197426,0.8444444444444444,0.9859002169197397,0.9239766081871345,0.9080459770114943,0.9404761904761905,0.9309296510967155,0.9162087720034114,0.8586956521739131
5,90,0.1,10%,355,715,1472,148,0.10054347826086957,17,0.5159306737594687,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887063655030801,0.9333333333333333,0.9058823529411765,0.9625,0.9535514541387025,0.9271701447896132,0.875,0.9848156182212582,0.9186046511627907,0.8977272727272727,0.9404761904761905,0.9297363336742812,0.9102364394993046,0.8494623655913979
5,90,0.15,15%,355,715,1472,221,0.15013586956521738,22,0.5078874279249083,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887063655030801,0.9333333333333333,0.9058823529411765,0.9625,0.9535514541387025,0.9271701447896132,0.875,0.9848156182212582,0.9186046511627907,0.8977272727272727,0.9404761904761905,0.9297363336742812,0.9102364394993046,0.8494623655913979
5,90,0.25,25%,355,715,1472,368,0.25,24,0.5067572294435252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9897330595482546,0.9404761904761905,0.8977272727272727,0.9875,0.9774328859060404,0.9348721514924575,0.8876404494382022,0.9880694143167028,0.9349112426035503,0.9294117647058824,0.9404761904761905,0.9333162859415842,0.9283443315576029,0.8777777777777778
