variant,forecast_lag_min,window_size,top_percent,top_percent_label,input_start,input_end,total_features,selected_feature_count,selected_feature_fraction,feature_count_cumimp_gt50,cumimp_reached_at_gt50,train_accuracy,train_f1,train_precision,train_recall,train_tss,train_hss,train_css,val_accuracy,val_f1,val_precision,val_recall,val_tss,val_hss,val_css,test_accuracy,test_f1,test_precision,test_recall,test_tss,test_hss,test_css
baseline,5,90,0.1,10%,355,715,1472,148,0.10054347826086957,15,0.5195928354658117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9917864476386037,0.9512195121951219,0.9285714285714286,0.975,0.9682885906040268,0.9467381199759392,0.9069767441860465,0.9859002169197397,0.9248554913294798,0.898876404494382,0.9523809523809523,0.9416410955790431,0.9170828894392407,0.8602150537634409
exp_fft,5,90,0.1,10%,355,715,1472,148,0.10054347826086957,15,0.5148978361198114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9917864476386037,0.9512195121951219,0.9285714285714286,0.975,0.9682885906040268,0.9467381199759392,0.9069767441860465,0.9837310195227765,0.9132947976878613,0.8876404494382022,0.9404761904761905,0.9285430162518469,0.9043264108914316,0.8404255319148937
