method,counterfactual_cutoff,sample_id,forecast_lag_min,window_size,top_percent,top_percent_label,features_to_vary_count,features_to_vary_fraction,original_label,original_label_name,desired_counterfactual_label,desired_counterfactual_label_name,counterfactual_predicted_label,counterfactual_predicted_label_name,counterfactual_found,counterfactual_reconstruction_mse,counterfactual_reconstruction_mae,changed_feature_count,selected_feature_count,changed_feature_fraction,dice_proximity_loss,dice_proximity_score,dice_sparsity_loss,dice_sparsity_score,dice_plausibility_distance,dice_plausibility_score,dice_nearest_train_index,dice_nearest_train_label,dice_diversity_dpp,dice_diversity_avg_dist,dice_diversity_pair_count,dice_mean_pairwise_distance,error
box_cox,0-all,2003-01-07_06-29,5,180,0.1,10%,146,1.0,0,0,1,1,1,1,True,0.14738843971863388,0.11772966273128986,55.5,146.0,0.38013698630136983,14.109073307479346,0.07021689002243083,0.38013698630136983,0.6198630136986302,14.55662366777211,0.06803450678459322,879,1,0.951150975671249,0.993396478995702,45,2349.4441274807655,
box_cox,0-all,2003-01-07_22-25,5,180,0.1,10%,146,1.0,0,0,1,1,1,1,True,0.013714130083099008,0.05088205635547638,51.4,146.0,0.352054794520548,13.133114130513317,0.07145735122451513,0.352054794520548,0.647945205479452,13.604237446856127,0.06903064485866837,503,1,0.7958735095489806,0.980596710440894,45,2132.486281110115,
box_cox,0-all,2003-01-09_00-27,5,180,0.1,10%,146,1.0,0,0,1,1,1,1,True,1.2337510395795106,0.3224735349416733,40.7,146.0,0.2787671232876712,8.108983564284463,0.11242807897030305,0.2787671232876712,0.7212328767123287,8.827941363837498,0.10351801392394569,740,1,0.1210797403229836,0.8859078362814113,45,789.3371217444591,
box_cox,0-all,2003-01-12_13-12,5,180,0.1,10%,146,1.0,0,0,1,1,1,1,True,0.1314054696355015,0.08051974810659886,51.1,146.0,0.35,12.266205516500012,0.08053044133217584,0.35,0.65,12.853600401553987,0.07626856069971008,944,1,0.5467553903777808,0.9671614825516857,45,1498.4757152854902,
box_cox,0-all,2003-01-14_05-20,5,180,0.1,10%,146,1.0,0,0,1,1,1,1,True,0.7955790565349161,0.2838338319212198,55.5,146.0,0.38013698630136983,13.06864805398455,0.07666589982920301,0.38013698630136983,0.6198630136986301,13.4070244391546,0.07441664230395764,381,1,0.8318520561243207,0.9835765304591723,45,1738.3589294793808,
box_cox,0-all,2003-01-21_01-23,5,180,0.1,10%,146,1.0,0,0,1,1,0,0,True,0.012840867694467305,0.053411319851875305,40.1,146.0,0.2746575342465753,12.978436357064771,0.07383489585957725,0.2746575342465753,0.7253424657534246,13.288961306153293,0.07131827460401721,354,0,0.1198703123432177,0.9238718348668283,45,1637.1093478880398,
box_cox,0-all,2003-01-21_13-59,5,180,0.1,10%,146,1.0,0,0,1,1,1,1,True,0.004916159552522004,0.03806482888758182,53.5,146.0,0.3664383561643835,14.202422169497126,0.06769552350005768,0.3664383561643835,0.6335616438356164,14.747919861068501,0.06525778534595554,944,1,0.04238582931435044,0.9233201627450773,45,1043.4799769142837,
box_cox,0-all,2003-01-22_03-35,5,180,0.1,10%,146,1.0,0,0,1,1,1,1,True,0.06356536317616701,0.0732378052547574,51.7,146.0,0.3541095890410959,14.050306661497089,0.07174300938619924,0.3541095890410959,0.6458904109589041,14.576182032682633,0.06856221057802414,503,1,0.9786570989926596,0.9928329009107021,45,2266.355537216696,
box_cox,0-all,2003-01-23_03-25,5,180,0.1,10%,146,1.0,0,0,1,1,0,0,True,0.010447179805487395,0.057860495150089265,39.5,146.0,0.2705479452054794,21.147557947968057,0.0453064949956426,0.2705479452054794,0.7294520547945205,19.347274683062707,0.050367728259929676,950,0,0.7598468220389172,0.9664224613356117,45,189.96407919760023,
box_cox,0-all,2003-01-24_02-12,5,180,0.1,10%,146,1.0,0,0,1,1,0,0,True,0.012154904240742326,0.04723460003733635,53.1,146.0,0.36369863013698633,13.200862392728004,0.0718427253585177,0.36369863013698633,0.6363013698630138,13.624079608134958,0.06955455679506498,817,0,0.1139913778794737,0.9446110026651202,45,1726.3600638832806,
