method,counterfactual_cutoff,sample_id,forecast_lag_min,window_size,top_percent,top_percent_label,features_to_vary_count,features_to_vary_fraction,original_label,original_label_name,desired_counterfactual_label,desired_counterfactual_label_name,counterfactual_predicted_label,counterfactual_predicted_label_name,counterfactual_found,counterfactual_reconstruction_mse,counterfactual_reconstruction_mae,changed_feature_count,selected_feature_count,changed_feature_fraction,dice_proximity_loss,dice_proximity_score,dice_sparsity_loss,dice_sparsity_score,dice_plausibility_distance,dice_plausibility_score,dice_nearest_train_index,dice_nearest_train_label,dice_diversity_dpp,dice_diversity_avg_dist,dice_diversity_pair_count,dice_mean_pairwise_distance,error
box_cox,0-all,2003-01-07_06-29,5,180,0.1,10%,146,1.0,0,0,1,1,1,1,True,0.005352220498025417,0.04079652577638626,52,146,0.3561643835616438,14.90816344508402,0.06286080750000231,0.3561643835616438,0.6438356164383562,15.603023710927808,0.06022999288628482,406,1,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2003-01-07_22-25,5,180,0.1,10%,146,1.0,0,0,1,1,1,1,True,0.005085393320769072,0.028641652315855026,47,146,0.3219178082191781,12.673980320669283,0.07313159566921582,0.3219178082191781,0.678082191780822,13.232167593998264,0.0702633659557032,503,1,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2003-01-09_00-27,5,180,0.1,10%,146,1.0,0,0,1,1,1,1,True,1.754616141319275,0.4328268766403198,38,146,0.2602739726027397,6.979359142607189,0.12532334766840164,0.2602739726027397,0.7397260273972603,7.860726628086245,0.11285756145892764,740,1,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2003-01-12_13-12,5,180,0.1,10%,146,1.0,0,0,1,1,1,1,True,0.007440561894327402,0.04488341510295868,48,146,0.3287671232876712,12.636784270976285,0.07333107132363603,0.3287671232876712,0.6712328767123288,13.168289880886306,0.07058014823292452,944,1,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2003-01-14_05-20,5,180,0.1,10%,146,1.0,0,0,1,1,0,0,True,0.006356770638376474,0.041767701506614685,53,146,0.363013698630137,12.016271002873008,0.07682691915213472,0.363013698630137,0.636986301369863,11.933884666312176,0.07731629172514717,644,0,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2003-01-21_01-23,5,180,0.1,10%,146,1.0,0,0,1,1,0,0,True,0.011738310568034649,0.04997708648443222,35,146,0.23972602739726026,11.638157420475126,0.07912545846120703,0.23972602739726026,0.7602739726027398,12.212827933110095,0.07568402502950143,687,0,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2003-01-21_13-59,5,180,0.1,10%,146,1.0,0,0,1,1,1,1,True,0.006138392724096775,0.043883759528398514,52,146,0.3561643835616438,16.683667682742325,0.05654935491554789,0.3561643835616438,0.6438356164383562,17.24839798044344,0.05479933093697795,944,1,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2003-01-22_03-35,5,180,0.1,10%,146,1.0,0,0,1,1,1,1,True,0.06420394778251648,0.07960761338472366,47,146,0.3219178082191781,12.182894758863812,0.07585587371298916,0.3219178082191781,0.678082191780822,12.85093164219584,0.07219730959855247,503,1,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2003-01-23_03-25,5,180,0.1,10%,146,1.0,0,0,1,1,0,0,True,0.01044848095625639,0.057863038033246994,35,146,0.23972602739726026,18.681252642917357,0.05080977405977599,0.23972602739726026,0.7602739726027398,16.950523509158966,0.055708681671025696,950,0,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
box_cox,0-all,2003-01-24_02-12,5,180,0.1,10%,146,1.0,0,0,1,1,0,0,True,0.008751686662435532,0.03620002046227455,52,146,0.3561643835616438,15.446631799329396,0.06080272314728749,0.3561643835616438,0.6438356164383562,15.810293134187155,0.05948736241644093,817,0,1.0001005130305063,0.9988987241968288,4950,1464.615092630905,
