window_size,forecast_lag_min,effective_coeffs,max_available_coeffs,cv_folds_used,cv_accuracy_mean,cv_f1_mean,cv_precision_mean,cv_recall_mean,cv_tss_mean,cv_hss_mean,cv_css_mean,cv_css_std
360,5,1,181,3,0.9407630522088354,0.5940740740740741,0.6704911433172303,0.5379867046533713,0.5139751328115197,0.5626112894508847,0.4230244068953746,0.025905631057621666
360,5,40,181,3,0.9809236947791163,0.8864744796948187,0.8644052706552706,0.9126305792972459,0.8995229683111393,0.8760975222922371,0.7974789915966388,0.04977646995456179
360,5,41,181,3,0.9748995983935743,0.8507116848725588,0.8196029776674938,0.8879392212725546,0.8704778833676293,0.8370661505921886,0.7404040404040405,0.01857048112207096
360,5,42,181,3,0.9789156626506023,0.8715837621497998,0.8577744094985474,0.8874643874643874,0.8743710627027889,0.8601168792075953,0.7735099184278829,0.044434824896306305
360,5,43,181,3,0.9839357429718877,0.899836943862101,0.9002849002849004,0.8998100664767331,0.891081183302334,0.8911070393489021,0.8187739463601532,0.03944313720040206
360,5,44,181,3,0.9809236947791166,0.8788107835726883,0.8867047957502731,0.8736942070275404,0.8638688561221507,0.8684797186274463,0.7894088669950738,0.10143976361194786
360,5,94,181,3,0.9799196787148595,0.8757377698554168,0.878968253968254,0.8755935422602089,0.8646788667360831,0.8648309621767174,0.7800595238095238,0.04422623053257174
360,5,181,181,3,0.9829317269076304,0.8903149138443256,0.9095238095238095,0.8736942070275403,0.8660617915841317,0.881069240007745,0.8102006344498002,0.11674236190138404
360,15,1,181,3,0.9457831325301204,0.6324514991181658,0.6923031484434993,0.5868945868945868,0.5639616250030907,0.6035367204955299,0.46482334869431635,0.05906452809390694
360,15,70,181,3,0.9708835341365462,0.8280578898225958,0.8001253918495298,0.8622981956315289,0.842636779152369,0.812228453434379,0.7074190177638453,0.038260308543249064
360,15,71,181,3,0.9688755020080322,0.8076231944156472,0.8034908471690082,0.8133903133903134,0.7959182608170071,0.7907105526685524,0.679575163398693,0.0622379593709073
360,15,72,181,3,0.9759036144578314,0.8482283148949815,0.8658008658008658,0.8376068376068376,0.8256064090201024,0.8351905347698428,0.737231182795699,0.036526016778766636
360,15,73,181,3,0.9738955823293173,0.842264641337796,0.8261342401127347,0.8627730294396961,0.8464081592657613,0.8280858296396746,0.7283575795909761,0.03805349528034656
360,15,74,181,3,0.9728915662650602,0.8311479238610012,0.8159636062861869,0.8494776828110161,0.8331020979687004,0.8164230870439826,0.7181492342782665,0.11191705252471097
360,15,76,181,3,0.9698795180722891,0.8112466843501327,0.815478117020894,0.8129154795821463,0.7965363231837035,0.7949478962814062,0.6840396373603205,0.05153433074300211
360,15,181,181,3,0.9688755020080322,0.8054614847067677,0.8105413105413105,0.8005698005698005,0.7841906441713579,0.788548039699459,0.6753156565656565,0.0418202899544259
360,30,1,181,3,0.9417670682730924,0.6050724637681159,0.6485221674876848,0.5740740740740741,0.5478695667702419,0.5740486258572414,0.4424242424242424,0.11413694458040836
360,30,2,181,3,0.9518072289156626,0.6835474930713025,0.7227101937246864,0.6505223171889839,0.628682251472351,0.6576043323995794,0.5215595915785669,0.05889577341590427
360,30,3,181,3,0.9487951807228915,0.6709886233695758,0.6942780461621041,0.6500474833808166,0.6249323006957207,0.6432725011221146,0.5061838624338625,0.04391277901765865
