window_size,forecast_lag_min,input_start,input_end,coeff_setting,max_available_coeffs,effective_coeffs,train_accuracy,train_f1,train_precision,train_recall,train_tss,train_hss,train_css,val_accuracy,val_f1,val_precision,val_recall,val_tss,val_hss,val_css,test_accuracy,test_f1,test_precision,test_recall,test_tss,test_hss,test_css
360,0,360,720,all,181,181,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9845995893223819,0.9090909090909091,0.8823529411764706,0.9375,0.9263143176733781,0.9006865610767453,0.8333333333333334,0.9837310195227765,0.9101796407185628,0.9156626506024096,0.9047619047619048,0.8964086828048643,0.9012354495465258,0.8351648351648352
360,0,360,720,100,181,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9856262833675564,0.9135802469135802,0.9024390243902439,0.925,0.9160514541387026,0.9057428042137861,0.8409090909090909,0.9815618221258134,0.8982035928143712,0.9036144578313253,0.8928571428571429,0.8833106034776681,0.8880668428193959,0.8152173913043478
360,0,360,720,50,181,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866529774127311,0.9202453987730062,0.9036144578313253,0.9375,0.9285514541387023,0.9129651778226859,0.8522727272727273,0.9815618221258134,0.8994082840236687,0.8941176470588236,0.9047619047619048,0.8940220479599956,0.8892594214981135,0.8172043010752689
360,0,360,720,25,181,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9876796714579056,0.9259259259259259,0.9146341463414634,0.9375,0.9296700223713645,0.9192081178975309,0.8620689655172413,0.9848156182212582,0.9186046511627907,0.8977272727272727,0.9404761904761905,0.9297363336742812,0.9102364394993046,0.8494623655913979
360,0,360,720,10,181,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9835728952772074,0.8961038961038961,0.9324324324324325,0.8625,0.8569071588366892,0.8871999768377776,0.8117647058823529,0.9902386117136659,0.9461077844311377,0.9518072289156626,0.9404761904761905,0.9357029207864529,0.9407412697279155,0.8977272727272727
360,0,360,720,5,181,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9815195071868583,0.8783783783783784,0.9558823529411765,0.8125,0.8091442953020134,0.8684494867639114,0.7831325301204819,0.9848156182212582,0.9125,0.9605263157894737,0.8690476190476191,0.8654676667803161,0.9042092139634291,0.8390804597701149
360,5,355,715,all,181,181,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9815195071868583,0.8846153846153846,0.9078947368421053,0.8625,0.8546700223713648,0.8745779202197677,0.7931034482758621,0.9783080260303688,0.8837209302325582,0.8636363636363636,0.9047619047619048,0.8904420956926924,0.8717663421418637,0.7916666666666666
360,5,355,715,100,181,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9866529774127311,0.9182389937106918,0.9240506329113924,0.9125,0.9057885906040268,0.9109726772882595,0.8488372093023255,0.9848156182212582,0.9186046511627907,0.8977272727272727,0.9404761904761905,0.9297363336742812,0.9102364394993046,0.8494623655913979
360,5,355,715,50,181,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9815195071868583,0.8875,0.8875,0.8875,0.8774328859060403,0.8774328859060403,0.797752808988764,0.9848156182212582,0.9186046511627907,0.8977272727272727,0.9404761904761905,0.9297363336742812,0.9102364394993046,0.8494623655913979
360,5,355,715,25,181,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9815195071868583,0.8888888888888888,0.8780487804878049,0.9,0.8888143176733783,0.8788121768462963,0.8,0.9880694143167028,0.9349112426035503,0.9294117647058824,0.9404761904761905,0.9333162859415842,0.9283443315576029,0.8777777777777778
