timestamp,icme_speed_mean,label
2021-03-25 16:00:00,406.0,0
2021-03-25 17:00:00,393.0,0
2021-03-25 18:00:00,386.0,0
2021-03-25 19:00:00,395.0,0
2021-03-25 20:00:00,412.0,0
2021-03-25 21:00:00,427.0,0
2021-03-25 22:00:00,436.0,0
2021-03-25 23:00:00,462.0,0
2021-03-26 00:00:00,469.0,0
2021-03-26 01:00:00,458.0,0
2021-03-26 02:00:00,450.0,0
2021-03-26 03:00:00,449.0,0
2021-03-26 04:00:00,448.0,0
2021-03-26 05:00:00,433.0,0
2021-03-26 06:00:00,431.0,0
2021-03-26 07:00:00,432.0,0
2021-03-26 08:00:00,426.0,0
2021-03-26 09:00:00,421.0,0
2021-03-26 10:00:00,418.0,0
2021-03-26 11:00:00,423.0,0
2021-03-26 12:00:00,407.0,0
2021-03-26 13:00:00,402.0,0
2021-03-26 14:00:00,400.0,0
2021-03-26 15:00:00,394.0,0
2021-03-26 16:00:00,393.0,0
2021-03-26 17:00:00,385.0,0
