forecast_lag_min,window_size,top_percent,top_percent_label,total_features_in_window_model,selected_feature_count,selected_feature_fraction,window_model_feature_count_cumimp_gt50,window_model_cumimp_reached_gt50,max_available_coeffs,n_slices,channels
60,90,0.05,5%,1472,74,0.050271739130434784,59,0.5003140581905934,46,4,4
60,90,0.1,10%,1472,148,0.10054347826086957,59,0.5003140581905934,46,4,4
60,90,0.15,15%,1472,221,0.15013586956521738,59,0.5003140581905934,46,4,4
60,90,0.2,20%,1472,295,0.20040760869565216,59,0.5003140581905934,46,4,4
60,90,0.25,25%,1472,368,0.25,59,0.5003140581905934,46,4,4
60,180,0.05,5%,1456,73,0.05013736263736264,79,0.5020558100780458,91,2,4
60,180,0.1,10%,1456,146,0.10027472527472528,79,0.5020558100780458,91,2,4
60,180,0.15,15%,1456,219,0.1504120879120879,79,0.5020558100780458,91,2,4
60,180,0.2,20%,1456,292,0.20054945054945056,79,0.5020558100780458,91,2,4
60,180,0.25,25%,1456,364,0.25,79,0.5020558100780458,91,2,4
60,360,0.05,5%,1448,73,0.05041436464088398,102,0.5003355591653754,181,1,4
60,360,0.1,10%,1448,145,0.10013812154696132,102,0.5003355591653754,181,1,4
60,360,0.15,15%,1448,218,0.1505524861878453,102,0.5003355591653754,181,1,4
60,360,0.2,20%,1448,290,0.20027624309392264,102,0.5003355591653754,181,1,4
60,360,0.25,25%,1448,362,0.25,102,0.5003355591653754,181,1,4
120,45,0.05,5%,1472,74,0.050271739130434784,107,0.5008576507042259,23,8,4
120,45,0.1,10%,1472,148,0.10054347826086957,107,0.5008576507042259,23,8,4
120,45,0.15,15%,1472,221,0.15013586956521738,107,0.5008576507042259,23,8,4
120,45,0.2,20%,1472,295,0.20040760869565216,107,0.5008576507042259,23,8,4
120,45,0.25,25%,1472,368,0.25,107,0.5008576507042259,23,8,4
120,90,0.05,5%,1472,74,0.050271739130434784,111,0.5004505310833435,46,4,4
120,90,0.1,10%,1472,148,0.10054347826086957,111,0.5004505310833435,46,4,4
120,90,0.15,15%,1472,221,0.15013586956521738,111,0.5004505310833435,46,4,4
120,90,0.2,20%,1472,295,0.20040760869565216,111,0.5004505310833435,46,4,4
120,90,0.25,25%,1472,368,0.25,111,0.5004505310833435,46,4,4
120,180,0.05,5%,1456,73,0.05013736263736264,136,0.5002712322159321,91,2,4
120,180,0.1,10%,1456,146,0.10027472527472528,136,0.5002712322159321,91,2,4
120,180,0.15,15%,1456,219,0.1504120879120879,136,0.5002712322159321,91,2,4
120,180,0.2,20%,1456,292,0.20054945054945056,136,0.5002712322159321,91,2,4
120,180,0.25,25%,1456,364,0.25,136,0.5002712322159321,91,2,4
120,360,0.05,5%,1448,73,0.05041436464088398,150,0.5012648786243339,181,1,4
120,360,0.1,10%,1448,145,0.10013812154696132,150,0.5012648786243339,181,1,4
120,360,0.15,15%,1448,218,0.1505524861878453,150,0.5012648786243339,181,1,4
120,360,0.2,20%,1448,290,0.20027624309392264,150,0.5012648786243339,181,1,4
120,360,0.25,25%,1448,362,0.25,150,0.5012648786243339,181,1,4
