window_size,forecast_lag_min,input_start,input_end,max_available_coeffs,n_slices,channels,feature_block_size,model_name,baseline_total_features,baseline_cumimp95_features,baseline_cumimp95_fraction,baseline_cumimp95_reached,cumulative_importance_threshold,candidate_target_fraction,selected_feature_count,selected_feature_fraction,selected_equivalent_k,train_accuracy,train_f1,train_precision,train_recall,train_tss,train_hss,train_css,val_accuracy,val_f1,val_precision,val_recall,val_tss,val_hss,val_css,test_accuracy,test_f1,test_precision,test_recall,test_tss,test_hss,test_css
360,5,355,715,181,1,4,8,RandomForestClassifier,1448,493,0.3404696132596685,0.9500074192262921,0.95,0.24047,349,0.24102209944751382,44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9815195071868583,0.8846153846153846,0.9078947368421053,0.8625,0.8546700223713648,0.8745779202197677,0.7931034482758621,0.9848156182212582,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9083134447096262,0.908313444709626,0.8461538461538461
360,5,355,715,181,1,4,8,RandomForestClassifier,1448,493,0.3404696132596685,0.9500074192262921,0.95,0.29047,421,0.2907458563535912,53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9804928131416838,0.8789808917197452,0.8961038961038961,0.8625,0.8535514541387026,0.8683765060669426,0.7840909090909091,0.9848156182212582,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9083134447096262,0.908313444709626,0.8461538461538461
360,5,355,715,181,1,4,8,RandomForestClassifier,1448,493,0.3404696132596685,0.9500074192262921,0.95,0.34047,494,0.3411602209944751,62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9804928131416838,0.8789808917197452,0.8961038961038961,0.8625,0.8535514541387026,0.8683765060669426,0.7840909090909091,0.9848156182212582,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9083134447096262,0.908313444709626,0.8461538461538461
360,5,355,715,181,1,4,8,RandomForestClassifier,1448,493,0.3404696132596685,0.9500074192262921,0.95,0.39047,566,0.39088397790055246,71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9804928131416838,0.8805031446540881,0.8860759493670886,0.875,0.8649328859060401,0.8698831437289947,0.7865168539325843,0.9848156182212582,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9083134447096262,0.908313444709626,0.8461538461538461
360,5,355,715,181,1,4,8,RandomForestClassifier,1448,493,0.3404696132596685,0.9500074192262921,0.95,0.44047,638,0.44060773480662985,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9804928131416838,0.8789808917197452,0.8961038961038961,0.8625,0.8535514541387026,0.8683765060669426,0.7840909090909091,0.9848156182212582,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9083134447096262,0.908313444709626,0.8461538461538461
360,15,345,705,181,1,4,8,RandomForestClassifier,1448,743,0.513121546961326,0.9500060286422195,0.95,0.413122,599,0.4136740331491713,75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.973305954825462,0.8243243243243243,0.8970588235294118,0.7625,0.7546700223713647,0.8099825919923165,0.7011494252873564,0.9793926247288504,0.8819875776397516,0.922077922077922,0.8452380952380952,0.8380781907034889,0.8707215916638378,0.7888888888888889
360,15,345,705,181,1,4,8,RandomForestClassifier,1448,743,0.513121546961326,0.9500060286422195,0.95,0.463122,671,0.4633977900552486,84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9722792607802875,0.8187919463087249,0.8840579710144928,0.7625,0.7535514541387025,0.8038721417597661,0.6931818181818182,0.9793926247288504,0.8819875776397516,0.922077922077922,0.8452380952380952,0.8380781907034889,0.8707215916638378,0.7888888888888889
360,15,345,705,181,1,4,8,RandomForestClassifier,1448,743,0.513121546961326,0.9500060286422195,0.95,0.513122,744,0.5138121546961326,93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.973305954825462,0.8243243243243243,0.8970588235294118,0.7625,0.7546700223713647,0.8099825919923165,0.7011494252873564,0.9793926247288504,0.8819875776397516,0.922077922077922,0.8452380952380952,0.8380781907034889,0.8707215916638378,0.7888888888888889
360,15,345,705,181,1,4,8,RandomForestClassifier,1448,743,0.513121546961326,0.9500060286422195,0.95,0.563122,816,0.56353591160221,102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9722792607802875,0.8187919463087249,0.8840579710144928,0.7625,0.7535514541387025,0.8038721417597661,0.6931818181818182,0.9793926247288504,0.8819875776397516,0.922077922077922,0.8452380952380952,0.8380781907034889,0.8707215916638378,0.7888888888888889
360,15,345,705,181,1,4,8,RandomForestClassifier,1448,743,0.513121546961326,0.9500060286422195,0.95,0.613122,888,0.6132596685082873,111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9722792607802875,0.8187919463087249,0.8840579710144928,0.7625,0.7535514541387025,0.8038721417597661,0.6931818181818182,0.9804772234273319,0.8888888888888888,0.9230769230769231,0.8571428571428571,0.8499829526082507,0.8782034346103038,0.8
