sample_id,original_label,original_label_name,target_label,target_label_name,counterfactual_found,num_cf_requested,num_cf_returned,reconstruction_mse,changed_feature_count,changed_feature_fraction,dice_proximity_loss,dice_proximity_score,dice_sparsity_loss,dice_sparsity_score,dice_plausibility_distance,dice_plausibility_score,dice_diversity_dpp,dice_diversity_avg_dist,dice_diversity_pair_count,dice_mean_pairwise_distance,error
QUIET_Wind_2024-05-29_15-30,0,quiet,1,icme,True,5,5,81.84621569244972,3,0.15789473684210525,0.5745539690696247,0.6351004917226697,0.15789473684210525,0.8421052631578947,1.112429235506299,0.47338863863069186,0.8388354651362818,0.8936885558000476,10,11.697304229435058,
QUIET_Wind_2012-09-04_01-19,0,quiet,1,icme,True,5,5,149.5946466196424,1,0.05263157894736842,0.16180509388012618,0.8607295709646622,0.05263157894736842,0.9473684210526316,1.119807655215295,0.4717409136341837,0.8001493144870179,0.8988578573562286,10,15.073439204897799,
QUIET_Wind_2015-03-30_04-14,0,quiet,1,icme,True,5,5,0.051704750822957245,1,0.05263157894736842,0.033763450808566534,0.9673392875496245,0.05263157894736842,0.9473684210526316,0.5631832703457272,0.6397202547970152,0.8386931205500553,0.8627916540335159,10,7.145446830437673,
QUIET_Wind_2010-03-23_04-22,0,quiet,1,icme,True,5,5,48095.90214294809,1,0.05263157894736842,0.26003606641799254,0.7936280767286144,0.05263157894736842,0.9473684210526316,0.29815823238923406,0.7703221187139261,0.6973358960692289,0.7981666236686842,10,4.47314510330377,
QUIET_Wind_2002-12-19_14-06,0,quiet,1,icme,True,5,5,0.20535487787523252,1,0.05263157894736842,0.028273727580226095,0.9725036954442462,0.05263157894736842,0.9473684210526316,1.6838115613075793,0.3726044012988714,0.9282955539933903,0.9219370868240526,10,15.440280348737954,
QUIET_Wind_2000-12-01_03-52,0,quiet,1,icme,True,5,5,37000.64988164226,1,0.05263157894736842,0.12540445822427468,0.8885694318093028,0.05263157894736842,0.9473684210526316,0.39978107059446666,0.7143974304319707,0.8457614591088225,0.8567922119221545,10,6.074788887048006,
QUIET_Wind_2019-05-08_18-28,0,quiet,1,icme,True,5,5,0.10580721105756784,1,0.05263157894736842,0.2985106594470776,0.7701130466081909,0.05263157894736842,0.9473684210526316,1.818988112506967,0.35473721778510287,0.6245140358331253,0.8437685373909177,10,9.448535841995943,
QUIET_Wind_2016-07-19_09-05,0,quiet,1,icme,True,5,5,180.86578693412972,1,0.05263157894736842,0.18361645112170194,0.8448682840225054,0.05263157894736842,0.9473684210526316,0.7388175945345804,0.5751034514161703,0.877712022112357,0.9080994049603551,10,13.25027249074896,
QUIET_Wind_2005-02-18_22-53,0,quiet,1,icme,True,5,5,1.1786901456521752,1,0.05263157894736842,0.013714904891878812,0.9864706488720894,0.05263157894736842,0.9473684210526316,0.39014368683890205,0.7193500998979006,0.3969926067232875,0.6780360169060855,10,2.4381624085402427,
QUIET_Wind_2024-11-13_13-22,0,quiet,1,icme,True,5,5,54252.89502917327,1,0.05263157894736842,0.21529537259324996,0.8228452296877891,0.05263157894736842,0.9473684210526316,0.2369375816064065,0.8084482312367803,0.5824320238342438,0.8291503709779198,10,7.9498808400613825,
QUIET_Wind_2013-01-18_21-53,0,quiet,1,icme,True,5,5,1.5997688093770035,1,0.05263157894736842,0.0677507848639801,0.9365481291848353,0.05263157894736842,0.9473684210526316,0.21251253630932807,0.824733740934194,0.7095881356390774,0.7917072175763871,10,3.9778858400287844,
QUIET_Wind_2000-08-10_07-33,0,quiet,1,icme,True,5,5,1.7315990070494642,2,0.10526315789473684,0.11172591170605461,0.8995022869129676,0.10526315789473684,0.8947368421052632,0.474246400962651,0.6783126615381402,0.7272010251394814,0.8513944318523086,10,7.8339650412212904,
QUIET_Wind_2012-02-24_19-59,0,quiet,1,icme,True,5,5,1047.7133371282277,1,0.05263157894736842,0.25058942080697255,0.7996229484771479,0.05263157894736842,0.9473684210526316,1.733867748819144,0.3657821415947922,0.3271075057362928,0.7263421338207019,10,6.734398827810992,
QUIET_Wind_2009-10-31_10-47,0,quiet,1,icme,True,5,5,0.6808076367716293,1,0.05263157894736842,0.0693446729855011,0.9351521780232954,0.05263157894736842,0.9473684210526316,1.3248104916560413,0.43014258735888017,0.8841797593420051,0.8902712735275539,10,9.595186893486357,
QUIET_Wind_2006-02-04_23-29,0,quiet,1,icme,True,5,5,172.15760487486295,2,0.10526315789473684,0.14160036233543227,0.8759632818916132,0.10526315789473684,0.8947368421052632,1.636261078852728,0.37932510100069033,0.9345955315754306,0.9162173280296647,10,12.037849126103842,
QUIET_Wind_2016-04-15_20-27,0,quiet,1,icme,True,5,5,1010.6698090810154,1,0.05263157894736842,0.27342810974467974,0.7852818642432028,0.05263157894736842,0.9473684210526316,1.0048370041158272,0.498793666491117,0.05337207755830423,0.6127574710254715,10,3.37787518769557,
QUIET_Wind_2010-02-06_05-26,0,quiet,1,icme,True,5,5,31.48429034390881,2,0.10526315789473684,0.4063075984803326,0.7110819859613986,0.10526315789473684,0.8947368421052632,1.1291028948120043,0.46968138667074516,0.8398392725319229,0.8685974807485658,10,7.993337986440258,
QUIET_Wind_2020-01-03_12-02,0,quiet,1,icme,True,5,5,775.2193918959902,2,0.10526315789473684,0.5882920487910761,0.6296071309814508,0.10526315789473684,0.8947368421052632,0.6490076695010651,0.6064253177807031,0.007248352833432659,0.7528479973943901,10,10.474021606551142,
QUIET_Wind_2023-09-18_03-34,0,quiet,1,icme,True,5,5,1.210308299489349,1,0.05263157894736842,0.07049615867326602,0.9341462759094471,0.05263157894736842,0.9473684210526316,0.2424954109600865,0.8048319464031595,0.8146432768202384,0.8576856117835095,10,7.076628673363667,
QUIET_Wind_2002-09-28_18-40,0,quiet,1,icme,True,5,5,1.97086056441019,2,0.10526315789473684,0.14192115634188296,0.8757172020557672,0.10526315789473684,0.8947368421052632,0.6969266281313132,0.5893006706490418,0.7931524157109283,0.8572631487792381,10,7.884965862270943,
QUIET_Wind_2023-04-22_11-02,0,quiet,1,icme,True,5,5,0.08670384053487867,2,0.10526315789473684,0.39215547347950386,0.718310575973699,0.10526315789473684,0.8947368421052632,1.4375932083851548,0.4102407229229504,0.8270917066832081,0.8699573431744806,10,9.594916468028257,
QUIET_Wind_2024-03-30_00-16,0,quiet,1,icme,True,5,5,59368.01288756761,1,0.05263157894736842,0.2067845724143815,0.8286483129290647,0.05263157894736842,0.9473684210526316,0.35486274265654777,0.7380821455310296,0.3046166540516772,0.8345598354701131,10,10.230097496792109,
QUIET_Wind_2024-08-25_06-30,0,quiet,1,icme,True,5,5,7.515155885470999,1,0.05263157894736842,0.0320936991399309,0.9689042776187129,0.05263157894736842,0.9473684210526316,0.33942975236604067,0.7465863724719765,0.7343743197313864,0.8334015869585959,10,6.914230800339382,
QUIET_Wind_2000-07-31_08-45,0,quiet,1,icme,True,5,5,505.8733902571605,2,0.10526315789473684,0.4715224100806529,0.6795683118038216,0.10526315789473684,0.8947368421052632,0.7277888376479863,0.5787744301909516,0.24773569694337944,0.6455677005705577,10,2.391521679707089,
QUIET_Wind_1999-08-08_03-20,0,quiet,1,icme,True,5,5,7.8454025624479335,2,0.10526315789473684,0.10994701668176965,0.9009439054032861,0.10526315789473684,0.8947368421052632,1.1490064244752531,0.4653313217731218,0.8573764534167334,0.899336821965094,10,12.63179844454984,
QUIET_Wind_2022-07-06_05-50,0,quiet,1,icme,True,5,5,5.602464278867861,1,0.05263157894736842,0.10588239792102497,0.9042552823699194,0.05263157894736842,0.9473684210526316,0.372104717609182,0.7288073476946029,0.9327423866433026,0.9149353580061224,10,12.323808521565793,
QUIET_Wind_2012-01-20_00-07,0,quiet,1,icme,True,5,5,433.87523351356157,2,0.10526315789473684,0.05445028760057141,0.9483614464893604,0.10526315789473684,0.8947368421052632,0.22225099272515847,0.8181625590422942,0.8507906852253567,0.8658094947542443,10,7.039099835976733,
QUIET_Wind_2004-08-27_19-57,0,quiet,1,icme,True,5,5,91.86273772586806,3,0.15789473684210525,0.6497776206514635,0.6061422991088462,0.15789473684210525,0.8421052631578947,1.391533021362192,0.4181418324846757,0.9675893680355465,0.9486640064953628,10,25.160138433178453,
QUIET_Wind_2006-09-29_06-41,0,quiet,1,icme,True,5,5,17756.40928819776,1,0.05263157894736842,0.1933308262162977,0.8379905873802883,0.05263157894736842,0.9473684210526316,0.6580035029819461,0.6031350345168052,0.17124912575271317,0.7694321270488492,10,5.433669417350925,
QUIET_Wind_2016-04-15_11-01,0,quiet,1,icme,True,5,5,528.503090486877,1,0.05263157894736842,0.23915921554652295,0.8069988000363267,0.05263157894736842,0.9473684210526316,1.2000052710037503,0.4545443654977022,0.3178677761620937,0.7077361653945767,10,6.486233230961005,
QUIET_Wind_1997-11-04_21-25,0,quiet,1,icme,True,5,5,513764.4680385652,3,0.15789473684210525,0.4680348104344689,0.6811827573108074,0.15789473684210525,0.8421052631578947,1.9217100022505245,0.34226531696497037,0.9574860372875189,0.9397055660380198,10,17.951797554657155,
QUIET_Wind_2024-05-11_03-41,0,quiet,1,icme,True,5,5,32.229401543367246,2,0.10526315789473684,0.20427869901224166,0.8303725714157425,0.10526315789473684,0.8947368421052632,0.42966021631987933,0.69946690030595,0.011497952028934232,0.6586653356587171,10,8.191351649961227,
QUIET_Wind_2021-09-16_09-02,0,quiet,1,icme,True,5,5,0.20537245460581735,2,0.10526315789473684,0.03630910301317941,0.9649630569608943,0.10526315789473684,0.8947368421052632,0.39268289499669695,0.7180385453088887,0.8522476404092696,0.8723519016132399,10,8.035770611759457,
QUIET_Wind_2010-04-10_09-28,0,quiet,1,icme,True,5,5,1.9054345933535395,2,0.10526315789473684,0.12331826997155905,0.8902196525525384,0.10526315789473684,0.8947368421052632,0.34433152765572556,0.7438641283254152,0.9071448433719242,0.8945229651719615,10,8.805570728008373,
QUIET_Wind_2000-02-19_03-50,0,quiet,1,icme,True,5,5,5.059467405860872,2,0.10526315789473684,0.11536659523478562,0.8965662090583763,0.10526315789473684,0.8947368421052632,0.864514742320363,0.5363325788218299,0.2179360645589415,0.7596053525232367,10,6.47330722690765,
QUIET_Wind_1998-08-17_17-40,0,quiet,1,icme,True,5,5,1356.017235437904,1,0.05263157894736842,0.24820131001831525,0.8011528204415412,0.05263157894736842,0.9473684210526316,1.8815722128242758,0.347032774521338,0.31634839103367646,0.854579364697829,10,12.099680275950089,
QUIET_Wind_2022-09-14_00-22,0,quiet,1,icme,True,5,5,0.3499648602917477,1,0.05263157894736842,0.09569959741029528,0.9126589097627827,0.05263157894736842,0.9473684210526316,0.6716873297069762,0.5981979896774633,0.9029580698676749,0.8911104611483547,10,8.41742629517374,
