class,n_instances,counterfactual_success,mean_dice_proximity_loss,median_dice_proximity_loss,std_dice_proximity_loss,mean_dice_proximity_score,median_dice_proximity_score,std_dice_proximity_score,mean_dice_sparsity_loss,median_dice_sparsity_loss,std_dice_sparsity_loss,mean_dice_sparsity_score,median_dice_sparsity_score,std_dice_sparsity_score,mean_dice_plausibility_distance,median_dice_plausibility_distance,std_dice_plausibility_distance,mean_dice_plausibility_score,median_dice_plausibility_score,std_dice_plausibility_score,mean_dice_diversity_dpp,median_dice_diversity_dpp,std_dice_diversity_dpp,mean_dice_diversity_avg_dist,median_dice_diversity_avg_dist,std_dice_diversity_avg_dist,mean_dice_diversity_pair_count,median_dice_diversity_pair_count,std_dice_diversity_pair_count,mean_dice_mean_pairwise_distance,median_dice_mean_pairwise_distance,std_dice_mean_pairwise_distance,mean_reconstruction_mse,median_reconstruction_mse,std_reconstruction_mse,mean_changed_feature_count,median_changed_feature_count,std_changed_feature_count,mean_changed_feature_fraction,median_changed_feature_fraction,std_changed_feature_fraction
quiet,50,50,0.22347569499685702,0.15186312511100458,0.1991753370780356,0.835571449219087,0.8682233865102147,0.11623540301557539,0.08315789473684208,0.05263157894736842,0.03847097385102566,0.9168421052631578,0.9473684210526316,0.03847097385102569,0.9065734907568849,0.7123577328896498,0.5361438709040004,0.5647843159836224,0.5840375504199967,0.14987958785094116,0.6763398732586626,0.8095264814783598,0.2824742787405859,0.8407330292378589,0.8577758874698735,0.08037608711246097,10.0,10.0,0.0,9.65342159083916,8.113561130860342,4.978838884528019,24837.817774039995,57.03780861790848,99972.89184285092,1.58,1.0,0.7309485031694876,0.08315789473684208,0.05263157894736842,0.03847097385102566
icme,50,50,0.16015320631458266,0.10657330175636699,0.2086769089055069,0.8798949592868985,0.9037116098976523,0.10756171794612308,0.07368421052631578,0.05263157894736842,0.036834432222303426,0.9263157894736842,0.9473684210526316,0.03683443222230344,0.8624846096577218,0.7508927007441171,0.5683766336385515,0.5889404384872065,0.5711456150695191,0.1780115718791131,0.7253180478811975,0.8482448257243124,0.2523987095075815,0.8566426008670855,0.8780355002291913,0.07392620850869286,10.0,10.0,0.0,9.849830307948439,9.645346596022897,4.298537556001372,6833.938718440387,24.056878202365105,20136.892936955133,1.4,1.0,0.6998542122237651,0.07368421052631578,0.05263157894736842,0.036834432222303426
all,100,100,0.1918144506557198,0.12641298219347816,0.20542810516158716,0.8577332042529929,0.8877745706456805,0.11362012513005199,0.07842105263157892,0.05263157894736842,0.03777211538914558,0.921578947368421,0.9473684210526316,0.0377721153891456,0.8845290502073033,0.7377190591078218,0.5501442041135285,0.5768623772354144,0.57546724506413,0.16416413548717784,0.7008289605699299,0.8295281713413976,0.26763679686497255,0.8486878150524721,0.8692774119615232,0.07724239992365953,10.0,10.0,0.0,9.751625949393798,8.870811009012893,4.628645149160214,15835.87824624019,31.797237654659636,72314.34578287233,1.49,1.0,0.7176701923937658,0.07842105263157892,0.05263157894736842,0.03777211538914558
