forecast_lag_min,window_size,top_percent,top_percent_label,input_start,input_end,total_features,selected_feature_count,selected_feature_fraction,feature_count_cumimp_gt50,cumimp_reached_at_gt50,train_accuracy,train_f1,train_precision,train_recall,train_tss,train_hss,train_css,val_accuracy,val_f1,val_precision,val_recall,val_tss,val_hss,val_css,test_accuracy,test_f1,test_precision,test_recall,test_tss,test_hss,test_css
0,6,0.05,5%,12,60,192,10,0.052083333333333336,4,0.5845597463875842,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8166189111747851,0.8511627906976744,0.7991266375545851,0.9104477611940298,0.5996369503832191,0.6149762118182445,0.6072581495648426,0.8685714285714285,0.883248730964467,0.8246445497630331,0.9508196721311475,0.7292627859036025,0.734647460197119,0.7319501714463608
0,6,0.1,10%,12,60,192,20,0.10416666666666667,6,0.5519380421053026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8796561604584527,0.8980582524271845,0.8767772511848341,0.9203980099502488,0.7447223342745732,0.7514160702777872,0.7480617152806982,0.8914285714285715,0.9015544041450777,0.8571428571428571,0.9508196721311475,0.7771669775203689,0.7812571954869906,0.7792094027170517
0,6,0.15,15%,12,60,192,29,0.15104166666666666,7,0.5282308304105581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8997134670487106,0.914004914004914,0.9029126213592233,0.9253731343283582,0.7902379991932231,0.7937735307524776,0.7920037921338371,0.8971428571428571,0.9067357512953368,0.8620689655172413,0.9562841530054644,0.7886194823467818,0.7927699746718858,0.7906920051738312
0,6,0.25,25%,12,60,192,48,0.25,8,0.5260462362548581,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8882521489971347,0.9032258064516129,0.900990099009901,0.9054726368159204,0.7703375016807854,0.7710243426475784,0.770680845648966,0.9028571428571428,0.91005291005291,0.882051282051282,0.9398907103825137,0.8021661594843101,0.804693911045462,0.803429041162782
0,6,0.5,50%,12,60,192,96,0.5,11,0.5238920592486116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8997134670487106,0.9122807017543859,0.9191919191919192,0.9054726368159204,0.7973645287078122,0.7952392925991115,0.7963012016525056,0.9228571428571428,0.926829268292683,0.9193548387096774,0.9344262295081968,0.8446058702267596,0.8452696728558797,0.8449377063539825
0,6,1.0,100%,12,60,192,192,1.0,13,0.5055501088893364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9054441260744985,0.9172932330827067,0.9242424242424242,0.9104477611940298,0.8090964098426785,0.8069399044505909,0.8080174377139191,0.9457142857142857,0.9473684210526315,0.9606741573033708,0.9344262295081968,0.892510061843526,0.8913434201496683,0.8919265502504118
0,12,0.05,5%,12,60,168,9,0.05357142857142857,3,0.5278325534757424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8653295128939829,0.8856447688564477,0.8666666666666667,0.9054726368159204,0.7162834476267312,0.722072552906691,0.719172175235277,0.8885714285714286,0.8992248062015504,0.8529411764705882,0.9508196721311475,0.7711789535682732,0.7754417135524627,0.7733073963247583
0,12,0.1,10%,12,60,168,17,0.10119047619047619,4,0.5558089685292767,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8681948424068768,0.8888888888888888,0.863849765258216,0.9154228855721394,0.7194769396261935,0.7272511043153245,0.7233535780464208,0.8914285714285715,0.9015544041450777,0.8571428571428571,0.9508196721311475,0.7771669775203689,0.7812571954869906,0.7792094027170517
0,12,0.15,15%,12,60,168,26,0.15476190476190477,5,0.5603168829354077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8796561604584527,0.8970588235294118,0.8840579710144928,0.9104477611940298,0.7482855990318678,0.752306600425834,0.7502934060454438,0.8971428571428571,0.90625,0.8656716417910447,0.9508196721311475,0.7891430254245606,0.7928789821481408,0.7910087981608864
0,12,0.25,25%,12,60,168,42,0.25,6,0.5480106251651856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8882521489971347,0.9032258064516129,0.900990099009901,0.9054726368159204,0.7703375016807854,0.7710243426475784,0.770680845648966,0.9171428571428571,0.9230769230769231,0.8969072164948454,0.9508196721311475,0.8310591930892315,0.8334591277524366,0.8322582953523472
0,12,0.5,50%,12,60,168,84,0.5,9,0.5365129471330327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9054441260744985,0.9172932330827067,0.9242424242424242,0.9104477611940298,0.8090964098426785,0.8069399044505909,0.8080174377139191,0.9342857142857143,0.9373297002724795,0.9347826086956522,0.9398907103825137,0.868034422957364,0.8682617091611299,0.868148058621141
0,12,1.0,100%,12,60,168,168,1.0,12,0.5188036301981486,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9111747851002865,0.9207161125319693,0.9473684210526315,0.8955223880597015,0.8279548204921339,0.8199204380898484,0.8239278361218974,0.9571428571428572,0.957983193277311,0.9827586206896551,0.9344262295081968,0.9164621576519094,0.9143080991088043,0.9153844947713887
0,16,0.05,5%,12,60,162,9,0.05555555555555555,3,0.5894387783575221,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8681948424068768,0.8888888888888888,0.863849765258216,0.9154228855721394,0.7194769396261935,0.7272511043153245,0.7233535780464208,0.8914285714285715,0.9015544041450777,0.8571428571428571,0.9508196721311475,0.7771669775203689,0.7812571954869906,0.7792094027170517
0,16,0.1,10%,12,60,162,17,0.10493827160493827,4,0.5588882527248692,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8739255014326648,0.8926829268292683,0.8755980861244019,0.9104477611940298,0.7347720855183542,0.7400460455037919,0.7374043505665205,0.8971428571428571,0.9067357512953368,0.8620689655172413,0.9562841530054644,0.7886194823467818,0.7927699746718858,0.7906920051738312
0,16,0.15,15%,12,60,162,25,0.15432098765432098,4,0.5312071090465201,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8825214899713467,0.8992628992628993,0.8883495145631068,0.9104477611940298,0.7550423557886243,0.7584204217386166,0.7567295037909696,0.8942857142857142,0.9038961038961039,0.8613861386138614,0.9508196721311475,0.7831550014724649,0.7870696175474367,0.785109869692959
0,16,0.25,25%,12,60,162,41,0.25308641975308643,6,0.5399021993503285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9025787965616046,0.914572864321608,0.9238578680203046,0.9054726368159204,0.8041212854645692,0.8012661619883432,0.8026924542920085,0.9228571428571428,0.928,0.90625,0.9508196721311475,0.843035240993423,0.8450260749778609,0.8440300710073588
